relay_timestamp,packet_num,source_ip,source_port,dest_ip,dest_port,bytes,x,y,z,yaw,unity_timestamp,unity_x,unity_z,scale_factor
2026-03-08 20:57:57.564,61,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.081730842590332","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:57.768,62,10.30.138.30,45520,10.30.135.228,8888,207,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.19196605682373","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:57.785,63,10.30.138.30,45520,10.30.135.228,8888,207,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.30367660522461","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:57.947,64,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.414985656738282","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:58.124,65,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.526651382446289","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:58.125,66,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.637739181518555","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:58.294,67,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.749082565307618","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:58.470,68,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.861383438110352","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:58.470,69,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":11.971545219421387","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
2026-03-08 20:57:58.566,70,10.30.138.30,45520,10.30.135.228,8888,208,"{""x"":0.42906299233436587","""y"":-0.2622031271457672","""z"":0.05496435984969139","""yaw"":90.0","""timestamp"":12.083118438720704","""unity_x"":1.2884774208068848","""unity_z"":0.16505813598632813","""scale_factor"":0.3330000042915344}"
